name;@lat;@lon
Os Blancos;41.9787591;-7.7571425
Carballeda de Valdeorras;42.3432466;-6.8544714
Calvos de Randín;41.9256571;-7.8562264
Ramirás;42.1842843;-8.0299170
Ribadavia;42.2876478;-8.1318886
Melón;42.2741557;-8.2161355
Rairiz de Veiga;42.0902961;-7.8595012
Boborás;42.4495065;-8.1745790
Beariz;42.4864672;-8.2965350
Beade;42.3290539;-8.1358649
O Bolo;42.2908473;-7.1103020
O Carballiño;42.4467392;-8.0815991
San Xoán de Río;42.3823287;-7.3130307
Rubiá;42.4653204;-6.8947657
A Rúa;42.4167867;-7.1261625
San Cibrao das Viñas;42.2791960;-7.8522029
Chantada;42.6107582;-7.7992156
Avión;42.3875798;-8.2731240
Baltar;41.9359410;-7.7432691
A Arnoia;42.2521431;-8.1317089
Bóveda;42.6350150;-7.4909973
Carballedo;42.5307252;-7.8168852
Becerreá;42.8841204;-7.1430697
Begonte;43.1537177;-7.6907654
Baleira;43.0538056;-7.1922440
Barreiros;43.5150078;-7.2284157
Alfoz de Castro de Ouro;43.5049092;-7.4436123
Antas de Ulla;42.7783520;-7.9003142
Abadín;43.3601707;-7.4863301
O Castro de Caldelas;42.3720385;-7.4003372
O Incio;42.6665383;-7.3906062
Xove;43.6614091;-7.5162419
Friol;43.0327920;-7.8112006
Xermade;43.3641285;-7.7876417
Guitiriz;43.2140377;-7.8253861
Guntín;42.9007195;-7.6540473
Barbadás;42.3011412;-7.9113356
O Barco de Valdeorras;42.4301249;-6.9740403
Bande;42.0223180;-7.9703330
Baños de Molgas;42.2238338;-7.6877796
Amoeiro;42.3927638;-7.9321580
Paradela;42.7360057;-7.5822502
O Páramo;42.8350918;-7.5202348
Palas de Rei;42.8983933;-7.8677500
Pantón;42.5088409;-7.6423409
A Pobra do Brollón;42.5485996;-7.3617040
Pastoriza;43.2949158;-7.3573122
Pedrafita do Cebreiro;42.6870751;-7.0865339
A Pontenova;43.3259705;-7.1754899
Portomarín;42.8155108;-7.6821619
Taboada;42.7206034;-7.7650618
Trabada;43.4351536;-7.1642621
Triacastela;42.7621049;-7.2196091
O Valadouro;43.5345115;-7.4658571
O Vicedo;43.6853727;-7.6697017
Vilalba;43.3177284;-7.6736511
Viveiro;43.6434399;-7.5711906
Soutomaior;42.3386392;-8.5686917
Silleda;42.6873306;-8.2835634
Sanxenxo;42.4222261;-8.8194937
Salvaterra de Miño;42.1185157;-8.4736863
Vigo;42.1985673;-8.7726604
Valga;42.6892719;-8.6601485
Tui;42.0669901;-8.6418391
Tomiño;41.9955499;-8.7341349
Vila de Cruces;42.7916996;-8.2258687
Vilaboa;42.3433138;-8.6492026
Padrón;42.7598490;-8.6287282
Paderne;43.2961347;-8.1612095
A Pobra do Caramiñal;42.6285776;-8.9448873
O Pino;42.9457704;-8.3207806
Ortigueira;43.6519302;-7.8416893
Oroso;43.0000853;-8.3824651
Outes;42.8454108;-8.9144397
Pontedeume;43.4008129;-8.1613521
Ponteceso;43.2618875;-8.8758487
Taboadela;42.2457833;-7.8269633
Sarreaus;42.0981505;-7.6189196
O Riós;41.9753318;-7.2644045
Sandiás;42.1110344;-7.7405148
San Cristovo de Cea;42.5007715;-7.9681224
O Porriño;42.1360042;-8.6388095
Pontevedra;42.4281447;-8.6271323
Mondariz Balneario;42.2197049;-8.4715015
Mondariz;42.2390797;-8.4331072
Mos;42.1884795;-8.6290364
Moraña;42.5626345;-8.5814386
Nigrán;42.1425567;-8.8021772
As Neves;42.1231783;-8.4031861
Oia;42.0318853;-8.8415394
Malpica de Bergantiños;43.3073166;-8.8220717
Lousame;42.7733626;-8.8471019
A Laracha;43.2436564;-8.5508482
Laxe;43.1923056;-9.0251668
Mesía;43.0908252;-8.2655289
Melide;42.9331375;-8.0351852
Mazaricos;42.9278025;-8.9970568
Mañón;43.6696146;-7.7335778
Moeche;43.5622517;-7.9762408
Miño;43.3578908;-8.1763232
A Estrada;42.6805730;-8.4724930
Dozón;42.5953420;-8.0386496
Cuntis;42.6401673;-8.5578154
Crecente;42.1894634;-8.2209372
Covelo;42.2684215;-8.3376072
Catoira;42.6583961;-8.7065935
Fornelos de Montes;42.3279950;-8.4206702
Forcarei;42.5759692;-8.3149465
Cariño;43.7285431;-7.9025910
Burela;43.6588665;-7.3630840
Baralla;42.9115886;-7.2539454
Coristanco;43.1632874;-8.7722463
Corcubión;42.9331324;-9.2002359
Carral;43.2075361;-8.3467168
Carnota;42.8380380;-9.1079237
Cee;42.9603932;-9.1995539
