name;@lat;@lon
Ronda de Outeiro;43.3705013;-8.4251535
Autovía das Rías Baixas;42.0382853;-6.9861140
Autovía das Rías Baixas;41.9852628;-7.2783261
Autovía das Rías Baixas;42.0368835;-6.9735081
Autovía das Rías Baixas;42.2162002;-8.2567346
Autovía das Rías Baixas;41.9971420;-7.5602125
Autovía das Rías Baixas;41.9831835;-7.2852002
Autovía das Rías Baixas;41.9526063;-7.5118523
Autovía das Rías Baixas;42.1299759;-7.7440567
Autovía das Rías Baixas;42.3104950;-7.8798630
Autovía das Rías Baixas;42.3210352;-8.0932580
Autovía das Rías Baixas;42.1700085;-8.6215141
Autovía das Rías Baixas;42.1626735;-8.3927810
Autovía das Rías Baixas;42.3095541;-8.1696620
Autovía das Rías Baixas;42.3382803;-7.9357988
Autovía das Rías Baixas;42.2058855;-7.8048937
Autovía das Rías Baixas;41.9488935;-7.3663868
Autoestrada do Atlántico;42.2404444;-8.6641334
Autovía das Rías Baixas;42.1743292;-8.6235615
Autovía do Atlántico;42.2060538;-8.6599282
Autoestrada do Atlántico;42.2114504;-8.6640563
Avenida de Madrid;42.2279437;-8.7183182
Autovía do Atlántico;42.2111137;-8.6621969
Túnel de Candeán;42.2402850;-8.6704934
Túnel de Candeán;42.2400564;-8.6705286
Autoestrada do Atlántico;42.6958721;-8.6385836
Autovía do Atlántico;42.0341532;-8.6544635
Rúa San Blas;42.4181821;-8.6454544
Ponte de Catoira;42.6772120;-8.7284607
Autoestrada do Atlántico;42.2452546;-8.6790594
Ponte de Catoira;42.6767994;-8.7229405
Autoestrada do Atlántico;42.4563227;-8.6489544
Rúa Arcos Moldes;42.6529575;-8.8139433
Rúa Xoán Manuel Pintos;42.4362242;-8.6414837
Ponte de Santiago;42.4351776;-8.6414707
Avenida de Compostela;42.4353909;-8.6414044
Rúa da Condesa Pardo Bazán;42.4332125;-8.6489158
Avenida de Domingo Fontán;42.4375348;-8.6503681
Ponte da Barca;42.4330969;-8.6529432
Avenida da Barca;42.4339455;-8.6546633
Avenida da Barca;42.4338884;-8.6546104
Avenida de Domingo Fontán;42.4375181;-8.6511275
Autoestrada do Atlántico;42.8549230;-8.5679245
Avenida de Pontecesures;42.7323318;-8.6586800
Rúa da Volta do Castro;42.8642364;-8.5670513
Rúa da Volta do Castro;42.8635075;-8.5674879
Campo da Estrela;42.8772027;-8.5462441
Rúa da Volta do Castro;42.8646102;-8.5667024
Avenida de Rosalía de Castro;42.8730185;-8.5535942
Avenida de Rosalía de Castro;42.8724976;-8.5544886
Avenida de Rosalía de Castro;42.8731871;-8.5532715
Avenida de Rosalía de Castro;42.8747278;-8.5512293
Campo da Estrela;42.8768894;-8.5464873
Avenida de Pontecesures;42.7316598;-8.6584034
Praza de España;42.2293951;-8.7195858
Rúa do Pracer;42.2368562;-8.7258645
Rúa Celso Emilio Ferreiro;42.2336962;-8.7245842
Travesía de Marqués Alcedo;42.2313852;-8.7218359
Rúa Nicaragua;42.2322381;-8.7228296
Rúa Gonzalo Fernández de la Mora y Mon;42.4445921;-8.6851180
Paseo Domingo Fontán;42.4342755;-8.6541881
Avenida da Barca;42.4335492;-8.6559215
Baixada á Chousa;42.4317716;-8.7074436
Paseo das Redeiras;42.4277707;-8.7077319
Avenida da Cruz;42.4280767;-8.7079478
Avenida de Ramón Nieto;42.2311259;-8.6992760
Avenida da Ponte;42.2213255;-8.6699304
Estrada das Plantas;42.2084395;-8.6702609
Estrada de Redondela;42.2302729;-8.6370438
Estrada de Vigo;42.2784611;-8.6117013
Rúa do Muro;42.2780762;-8.6119975
Autoestrada do Atlántico;42.2004170;-8.6675245
Estrada de acceso ao CUVI;42.2038769;-8.6698931
Rúa Penís;42.2245816;-8.6708039
Rúa Penís;42.2261721;-8.6672210
Camiño da Fonte;42.2252130;-8.6694944
Rúa Jenaro de la Fuente;42.2318863;-8.7018390
Avenida de Puxeiros;42.2088678;-8.6562025
Rúa Paredes;42.2150822;-8.6599595
Rúa da Regueira;42.2293372;-8.6554440
Rúa da Fontaiña;42.2238522;-8.6603251
Rúa da Regueira;42.2276823;-8.6561119
Rúa da Regueira;42.2259744;-8.6575096
Rúa Vista o mar;42.1312428;-8.8172033
Avenida de Praia América;42.1352185;-8.8169289
Rúa Rans;42.1308549;-8.8164480
Autoestrada do Val Miñor;42.1232175;-8.7676462
Autoestrada do Val Miñor;42.1658110;-8.7041070
Autopista do Val Miñor;42.1658724;-8.7039721
Autopista do Val Miñor;42.1674484;-8.7046520
Autoestrada do Val Miñor;42.1797870;-8.6912291
Viaduto de Carballal;42.2319743;-8.6488521
Autoestrada do Atlántico;42.2371456;-8.6563046
Avenida da Ponte;42.2115831;-8.6702559
Rúa Paredes;42.2132825;-8.6581620
Rúa Paredes;42.2117352;-8.6572113
Rúa Couto;42.2304839;-8.7213885
Autoestrada do Val Miñor;42.1267459;-8.7862501
Estrada Pola Vía;42.1317348;-8.8154312
Rúa Rosalía de Castro;42.1334829;-8.8084412
Rúa de San Lázaro;42.8865510;-8.5113376
Rúa de San Lázaro;42.8864171;-8.5113522
Rúa de San Lázaro;42.8864820;-8.5121099
Avenida do Cruceiro da Coruña;42.8985569;-8.5278799
Rúa do Cruceiro do Gaio;42.8803845;-8.5499664
Rúa de Clemente Fernández Sarela;42.8861862;-8.5171626
Avenida do Mestre Mateo;42.8730253;-8.5551525
Avenida do Mestre Mateo;42.8724701;-8.5596246
Avenida do Mestre Mateo;42.8719478;-8.5630442
Avenida da Mestra Victoria Míguez;42.8716127;-8.5649107
Avenida da Mestra Victoria Míguez;42.8711664;-8.5656683
Estrada de San Lourenzo;42.8752208;-8.5600724
Avenida de Romero Donallo;42.8693447;-8.5484919
Rúa do Xeneral Pardiñas;42.8751661;-8.5461562
Rúa de San Pedro;42.8816259;-8.5390976
Rúa de Miguel Ferro Caaveiro;42.8836594;-8.5137335
Praza da Concordia;42.8859605;-8.5128404
Rúa de San Clemente;42.8783938;-8.5472118
Avenida de Fernando de Casas Novoa;42.8848786;-8.5169553
Praza de España;42.8918532;-8.5334647
Glorieta do Cruceiro da Coruña;42.8989237;-8.5268188
Rúa do Cruceiro da Coruña;42.8918078;-8.5334350
Avenida do Cruceiro da Coruña;42.8950151;-8.5307467
Rúa de San Caetano;42.8891543;-8.5360549
Rúa de Entrerríos;42.8834793;-8.5473782
Costa de Santa Isabel;42.8846563;-8.5488686
Costa de Santa Isabel;42.8848745;-8.5497701
Rúa das Casas Novas;42.8883885;-8.5537837
Rúa do Pombal;42.8790858;-8.5487409
Rúa de San Lourenzo;42.8790018;-8.5540778
Rúa da Carballeira de San Lourenzo;42.8785649;-8.5555809
Avenida das Burgas;42.8784541;-8.5554289
Rúa de Xoaquín Díaz de Rábago;42.8769947;-8.5576517
Costa do Cano;42.8791894;-8.5577099
Avenida da Mestra Victoria Míguez;42.8693706;-8.5758171
Avenida da Mestra Victoria Míguez;42.8704424;-8.5681326
